plr_id,plr_name,bez,centroid_lat,centroid_lng,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count
10100312,Springpfuhl,10,52.52702886034912,13.545241942854272,14,0,10,3,9,1
12100205,Teichstraße,12,52.57420217210312,13.346965656328283,39,0,14,5,19,2
01100102,Großer Tiergarten,01,52.51255014921292,13.356187153724466,33,4,6,31,126,9
02200210,Urbanstraße,02,52.49453265945787,13.39763939445569,31,1,28,13,20,5
03701556,Kollwitzplatz,03,52.53232170480156,13.416448904694603,4,2,12,33,51,2
05300736,Zitadellenweg,05,52.54397466311964,13.229335369176805,17,0,8,6,8,2
06200419,Thermometersiedlung,06,52.413975544776,13.314389265852077,6,0,4,0,3,0
02400625,Wriezener Bahnhof,02,52.506793212319096,13.43915465384783,13,1,3,21,22,7
06300630,Hindenburgdamm,06,52.43987637889174,13.317078235295016,2,2,7,2,4,1
11300617,Fennpfuhlpark,11,52.52898520383569,13.47254155951253,4,1,5,4,5,1
07501029,Ringstraße,07,52.44270018216079,13.372796973600813,17,0,9,5,13,2
09100101,Alt-Treptow,09,52.48987920659654,13.458616775354615,27,3,20,17,46,5
04300623,Karl-August-Platz,04,52.508700249389655,13.308519729396746,15,1,17,24,24,15
05300737,Gartenfelder Straße,05,52.54447385586729,13.240842999906858,22,0,4,5,7,2
06300524,Berlepschstraße,06,52.425023870152565,13.240780067884963,16,8,7,0,6,0
01200623,Stephankiez,01,52.53130589319114,13.353241539029094,15,0,17,10,28,2
05200632,Tiefwerder,05,52.52117252066002,13.21107105051289,10,0,0,1,2,0
04400835,Rüdesheimer Platz,04,52.47269738792944,13.315289189867203,14,1,8,1,4,0
10200627,Am Kienberg,10,52.53074393097851,13.587868460528577,7,0,1,1,5,0
02300418,Reichenberger Straße Ost,02,52.49404265633212,13.436121222326777,3,2,22,16,21,2
02500728,Samariterviertel,02,52.51710026062048,13.464841983751692,10,0,14,20,17,2
01200627,Zillesiedlung,01,52.52579198551366,13.3614308676013,5,1,1,1,0,0
05400945,Kafkastraße,05,52.448385298260604,13.129099767979705,13,0,3,0,5,0
